Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Day,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
01_指名,SP,Listing,Google,-,-,11-Dec-17,1500,147,3,8714,1.02,NaN
06_外貨預金,PC,AT,Y!JAX,流出ターゲティング,-,11-Dec-17,539,0,,522,NaN,NaN
06_外貨預金,PC,AT,Y!JAX,流出ターゲティング,,11-Dec-17,427,0,,43,NaN,NaN
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,96,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,65,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,595,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,216,2,,734,NaN,NaN
06_外貨預金,PC,AT,GDN,-,-,11-Dec-17,274,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,170,0,,0,NaN,NaN
02_指名関連,SP,Listing,Google,,,11-Dec-17,3026,34,,12907,1.72,NaN
00_手数料無料,SP,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,2304,1,,112,NaN,NaN
02_指名関連,SP,Listing,Google,-,-,11-Dec-17,19130,368,4,171431,1.64,NaN
06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,11-Dec-17,1365,2,,1104,NaN,NaN
03_口座開設一般,PC,Listing,Google,-,-,11-Dec-17,3116,51,,20460,2.12,NaN
03_口座開設一般,PC,Listing,Google,,,11-Dec-17,585,9,,2096,2.83,NaN
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,11-Dec-17,23,0,,10,NaN,NaN
03_口座開設一般,SP,Listing,Google,-,-,11-Dec-17,11258,449,7,122180,1.58,NaN
03_口座開設一般,SP,Listing,Google,,,11-Dec-17,429,5,,1074,1.98,NaN
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,1日～3日,11-Dec-17,37,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,1日～3日,11-Dec-17,85,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,2306,0,,0,NaN,NaN
06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,836,1,,1132,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,186,0,,0,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,11-Dec-17,341,2,,193,NaN,NaN
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,563,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,410,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,2394,0,,0,NaN,NaN
06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,438,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,659,3,,241,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,660,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,243,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,51,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,10,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,1437,2,,827,NaN,NaN
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,11,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,285,0,,0,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,11-Dec-17,91,0,,13,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,11-Dec-17,44,0,,11,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,11-Dec-17,235,0,,62,NaN,NaN
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,11-Dec-17,1662,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,8日～15日,11-Dec-17,189,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,10,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,20,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,162,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,42,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,8日～15日,11-Dec-17,702,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,11-Dec-17,597,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,159,0,,0,NaN,NaN
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,254,0,,0,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,11-Dec-17,209,0,,190,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,28,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,130,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,255,0,,0,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,11-Dec-17,635,6,,568,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,11-Dec-17,67,0,,19,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,318,0,,0,NaN,NaN
00_手数料無料,PC,AT,Y!JAX,流出ターゲティング,-,11-Dec-17,2130,6,,1726,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,153,1,,125,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,11-Dec-17,1850,5,,1781,NaN,NaN
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,1478,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,92,0,,0,NaN,NaN
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,325,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,1095,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,1711,1,,110,NaN,NaN
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,401,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,133,0,,0,NaN,NaN
00_手数料無料,PC,AT,GDN,-,-,11-Dec-17,7486,11,,833,NaN,NaN
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,14,0,,0,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,11-Dec-17,312,0,,83,NaN,NaN
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,163,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,41,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,493,0,,0,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,11-Dec-17,766,0,,685,NaN,NaN
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,31,0,,0,NaN,NaN
00_手数料無料,SP,AT,GDN,-,-,11-Dec-17,5773,13,,536,NaN,NaN
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,4日～7日,11-Dec-17,50,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,44,0,,0,NaN,NaN
04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,13913,5,,1968,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,4421,4,,280,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,11-Dec-17,379,2,,96,NaN,NaN
01_指名,PC,Listing,Yahoo!,-,-,11-Dec-17,1700,93,2,3230,NaN,1.02
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,136,0,,0,NaN,NaN
04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,11-Dec-17,16307,20,,5332,NaN,NaN
03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,2697,4,,521,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,1370,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,11-Dec-17,74,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,11-Dec-17,216,0,,0,NaN,NaN
02_指名関連,PC,Listing,Yahoo!,-,-,11-Dec-17,32833,63,,21179,NaN,2.02
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,11-Dec-17,520,2,,287,NaN,NaN
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,11-Dec-17,460,0,,0,NaN,NaN
02_指名関連,SP,Listing,Yahoo!,-,-,11-Dec-17,27745,39,,10686,NaN,1.77
02_指名関連,SP,Listing,Yahoo!,,,11-Dec-17,2754,3,,217,NaN,1.7
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,11-Dec-17,429,1,,283,NaN,NaN
06_外貨預金,SP,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,4196,8,,841,NaN,NaN
01_指名,SP,Listing,Yahoo!,-,-,11-Dec-17,566,18,,2220,NaN,1.02
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,1日～7日,11-Dec-17,187,3,,174,NaN,NaN
03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,1214,1,,71,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,11-Dec-17,980,3,,802,NaN,NaN
02_指名関連,PC,Listing,Yahoo!,,,11-Dec-17,3593,12,,3725,NaN,2.03
00_手数料無料,PC,RT,Y!JAX,S3.口座開設詳細離脱,8日～15日,11-Dec-17,625,1,,423,NaN,NaN
03_口座開設一般,PC,Listing,Yahoo!,,,11-Dec-17,67,1,,418,NaN,2.76
03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,11-Dec-17,26,0,,3,NaN,NaN
03_口座開設一般,PC,AT,GDN,-,-,11-Dec-17,10671,6,,599,NaN,NaN
03_口座開設一般,PC,Listing,Yahoo!,-,-,11-Dec-17,6423,36,,11656,NaN,2.23
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,11-Dec-17,395,0,,248,NaN,NaN
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,11-Dec-17,151,1,,104,NaN,NaN
06_外貨預金,PC,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,1066,0,,0,NaN,NaN
03_口座開設一般,SP,AT,GDN,-,-,11-Dec-17,6202,14,,1046,NaN,NaN
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,1日～3日,11-Dec-17,60,0,,0,NaN,NaN
00_手数料無料,PC,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,749,3,,388,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,11-Dec-17,32,0,,4,NaN,NaN
00_手数料無料,SP,RT,GDN,S3.口座開設詳細離脱,-,11-Dec-17,1314,1,,196,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,11-Dec-17,633,2,,485,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,11-Dec-17,985,4,,742,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,11-Dec-17,818,0,,488,NaN,NaN
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,1日～3日,11-Dec-17,384,0,,0,NaN,NaN
03_口座開設一般,SP,Listing,Yahoo!,-,-,11-Dec-17,5553,44,,14048,NaN,1.73
06_外貨預金,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,11-Dec-17,121,0,,122,NaN,NaN
03_口座開設一般,SP,Listing,Yahoo!,,,11-Dec-17,123,1,,331,NaN,1.64
01_指名,SP,Listing,Y!PSD,-,-,11-Dec-17,271,2,,8064,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,41,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,47,0,,0,NaN,NaN
01_指名,PC,Listing,Y!PSD,-,-,11-Dec-17,683,14,,8064,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,65,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,978,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,11-Dec-17,612,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,249,1,,118,NaN,NaN
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,11-Dec-17,77,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,11-Dec-17,40,0,,0,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,11-Dec-17,135,0,,104,NaN,NaN
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,31日～90日,11-Dec-17,428,0,,0,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,11-Dec-17,696,0,,614,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,11-Dec-17,418,2,,381,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,11-Dec-17,598,3,,450,NaN,NaN
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,18,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,157,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,11-Dec-17,877,1,,110,NaN,NaN
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,31日～90日,11-Dec-17,243,2,,700,NaN,NaN
03_口座開設一般,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,68,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,50,0,,0,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,11-Dec-17,239,0,,65,NaN,NaN
04_海外での利用,PC,AT,GDN,-,-,11-Dec-17,26434,21,,2105,NaN,NaN
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,117,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,63,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,4日～7日,11-Dec-17,25,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,11-Dec-17,104,0,,0,NaN,NaN
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,4日～7日,11-Dec-17,67,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,402,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,627,0,,0,NaN,NaN
04_海外での利用,SP,AT,GDN,-,-,11-Dec-17,20119,15,,1066,NaN,NaN
00_手数料無料,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,11-Dec-17,36,0,,0,NaN,NaN
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,31日～90日,11-Dec-17,369,0,,0,NaN,NaN
03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,11-Dec-17,176,0,,49,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,10-Dec-17,722,1,,58,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,10-Dec-17,254,2,,335,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,10-Dec-17,409,1,,80,NaN,NaN
03_口座開設一般,SP,AT,GDN,-,-,10-Dec-17,678,3,,160,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,10-Dec-17,210,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,10-Dec-17,53,0,,0,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,16日～30日,10-Dec-17,460,0,,564,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S3.口座開設詳細離脱,1日～7日,10-Dec-17,295,2,,414,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,10-Dec-17,1067,2,,125,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S1.TOPページ離脱,8日～15日,10-Dec-17,126,1,,172,NaN,NaN
00_手数料無料,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,10-Dec-17,101,0,,0,NaN,NaN
03_口座開設一般,PC,AT,GDN,-,-,10-Dec-17,2050,4,,324,NaN,NaN
06_外貨預金,PC,AT,GDN,-,-,10-Dec-17,56,0,,0,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,10-Dec-17,117,0,,0,NaN,NaN
06_外貨預金,SP,AT,GDN,-,-,10-Dec-17,461,0,,0,NaN,NaN
06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,10-Dec-17,194,0,,0,NaN,NaN
01_指名,SP,Listing,Yahoo!,-,-,10-Dec-17,316,7,,1212,NaN,1.04
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,10-Dec-17,104,0,,0,NaN,NaN
03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,10-Dec-17,371,0,,0,NaN,NaN
01_指名,PC,Listing,Yahoo!,-,-,10-Dec-17,735,54,2,1531,NaN,1.02
00_手数料無料,PC,AT,Y!JAX,流出ターゲティング,-,10-Dec-17,2521,7,,2049,NaN,NaN
00_手数料無料,PC,RT,GDN,S4.申込フォーム離脱,-,10-Dec-17,823,2,,631,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,10-Dec-17,134,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,10-Dec-17,105,0,,0,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,10-Dec-17,101,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,10-Dec-17,120,0,,0,NaN,NaN
00_手数料無料,SP,AT,GDN,-,-,10-Dec-17,643,4,,70,NaN,NaN
03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,10-Dec-17,88,0,,0,NaN,NaN
04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,10-Dec-17,5281,6,,676,NaN,NaN
04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,10-Dec-17,16624,22,,6256,NaN,NaN
04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,10-Dec-17,9736,7,,3980,NaN,NaN
04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,10-Dec-17,13774,25,,2573,NaN,NaN
06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,10-Dec-17,58,0,,0,NaN,NaN
04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,10-Dec-17,273,1,,350,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,10-Dec-17,242,1,,17,NaN,NaN
00_手数料無料,PC,AT,GDN,-,-,10-Dec-17,793,3,,156,NaN,NaN
00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,16日～30日,10-Dec-17,93,0,,0,NaN,NaN
04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,10-Dec-17,341,0,,0,NaN,NaN
00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,16日～30日,10-Dec-17,168,0,,0,NaN,NaN
06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,10-Dec-17,1359,7,,1723,NaN,NaN
06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,10-Dec-17,809,0,,0,NaN,NaN
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,10-Dec-17,322,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S2.コンテンツ離脱,16日～30日,10-Dec-17,277,1,,104,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,10-Dec-17,306,0,,397,NaN,NaN
06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,10-Dec-17,475,0,,0,NaN,NaN
00_手数料無料,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,10-Dec-17,387,0,,0,NaN,NaN
00_手数料無料,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,10-Dec-17,3,0,,3,NaN,NaN
00_手数料無料,PC,RT,YDN,S2.コンテンツ離脱,16日～30日,10-Dec-17,438,0,,0,NaN,NaN
